Earl Ray Tomblinnew|2016-01-22|275013
Earl Ray Tomblinnew|2016-01-23|168307
Earl Ray Tomblinnew|2016-01-24|135873
Earl Ray Tomblinnew|2016-01-25|334132
Earl Ray Tomblinnew|2016-01-26|409963
Earl Ray Tomblinnew|2016-01-27|373983
Earl Ray Tomblinnew|2016-01-28|530751
Earl Ray Tomblinnew|2016-01-29|435380
Earl Ray Tomblinnew|2016-01-30|269609
Earl Ray Tomblinnew|2016-01-31|348675
Earl Ray Tomblinnew|2016-02-01|482603
Earl Ray Tomblinnew|2016-02-02|553524
Earl Ray Tomblinnew|2016-02-03|456948
Earl Ray Tomblinnew|2016-02-04|503810
Earl Ray Tomblinnew|2016-02-05|540152
