Robert Menendeznew|2016-01-18|281998
Robert Menendeznew|2016-01-19|405229
Robert Menendeznew|2016-01-20|338896
Robert Menendeznew|2016-01-21|315398
Robert Menendeznew|2016-01-22|275013
Robert Menendeznew|2016-01-23|168307
Robert Menendeznew|2016-01-24|135873
Robert Menendeznew|2016-01-25|334132
Robert Menendeznew|2016-01-26|409963
Robert Menendeznew|2016-01-27|373983
Robert Menendeznew|2016-01-28|530751
Robert Menendeznew|2016-01-29|435380
Robert Menendeznew|2016-01-30|269609
Robert Menendeznew|2016-01-31|348675
Robert Menendeznew|2016-02-01|482603
