Mike Quigleynew|2016-01-12|414408
Mike Quigleynew|2016-01-13|377555
Mike Quigleynew|2016-01-14|410641
Mike Quigleynew|2016-01-15|341264
Mike Quigleynew|2016-01-16|170441
Mike Quigleynew|2016-01-17|176909
Mike Quigleynew|2016-01-18|281998
Mike Quigleynew|2016-01-19|405229
Mike Quigleynew|2016-01-20|338896
Mike Quigleynew|2016-01-21|315398
Mike Quigleynew|2016-01-22|275013
Mike Quigleynew|2016-01-23|168307
Mike Quigleynew|2016-01-24|135873
Mike Quigleynew|2016-01-25|334132
Mike Quigleynew|2016-01-26|409963
