Lloyd Doggettnew|2016-02-21|409882
Lloyd Doggettnew|2016-02-22|790018
Lloyd Doggettnew|2016-02-23|480824
Lloyd Doggettnew|2016-02-24|481729
Lloyd Doggettnew|2016-02-25|570815
Lloyd Doggettnew|2016-02-26|551404
Lloyd Doggettnew|2016-02-27|395050
Lloyd Doggettnew|2016-02-28|293050
Lloyd Doggettnew|2016-02-29|610073
Lloyd Doggettnew|2016-03-01|474736
Lloyd Doggettnew|2016-03-02|372449
Lloyd Doggettnew|2016-03-03|315433
Lloyd Doggettnew|2016-03-04|273508
Lloyd Doggettnew|2016-03-05|166569
Lloyd Doggettnew|2016-03-06|168999
