Elijah Cummingsnew|2016-01-03|132161
Elijah Cummingsnew|2016-01-04|430237
Elijah Cummingsnew|2016-01-05|400680
Elijah Cummingsnew|2016-01-06|438061
Elijah Cummingsnew|2016-01-07|362036
Elijah Cummingsnew|2016-01-08|319240
Elijah Cummingsnew|2016-01-09|177834
Elijah Cummingsnew|2016-01-10|155591
Elijah Cummingsnew|2016-01-11|451775
Elijah Cummingsnew|2016-01-12|414408
Elijah Cummingsnew|2016-01-13|377555
Elijah Cummingsnew|2016-01-14|410641
Elijah Cummingsnew|2016-01-15|341264
Elijah Cummingsnew|2016-01-16|170441
Elijah Cummingsnew|2016-01-17|176909
