G.K. Butterfieldnew|2015-12-31|6643
G.K. Butterfieldnew|2016-01-01|92697
G.K. Butterfieldnew|2016-01-02|2685
G.K. Butterfieldnew|2016-01-04|33120
G.K. Butterfieldnew|2016-01-05|45208
G.K. Butterfieldnew|2016-01-06|23577
G.K. Butterfieldnew|2016-01-07|26619
G.K. Butterfieldnew|2016-01-08|23177
G.K. Butterfieldnew|2016-01-09|3708
G.K. Butterfieldnew|2016-01-10|148448
G.K. Butterfieldnew|2016-01-11|44042
G.K. Butterfieldnew|2016-01-12|443034
G.K. Butterfieldnew|2016-01-13|21604
G.K. Butterfieldnew|2016-01-14|420706
