YouGov|2016-06-11|482609|Clinton
YouGov|2016-06-11|97901|Sanders
YouGov|2016-06-12|418996|Clinton
YouGov|2016-06-12|62020|Sanders
YouGov|2016-06-13|663331|Clinton
YouGov|2016-06-13|88294|Sanders
YouGov|2016-06-14|732052|Clinton
YouGov|2016-06-14|68826|Sanders
YouGov|2016-06-15|891177|Clinton
YouGov|2016-06-15|-55408|Sanders
YouGov|2016-06-16|763757|Clinton
YouGov|2016-06-16|75960|Sanders
YouGov|2016-06-17|903577|Clinton
YouGov|2016-06-17|57767|Sanders
YouGov|2016-06-18|320852|Clinton
YouGov|2016-06-18|31446|Sanders
YouGov|2016-06-19|427679|Clinton
YouGov|2016-06-19|28306|Sanders
YouGov|2016-06-20|1078455|Clinton
YouGov|2016-06-20|37984|Sanders
YouGov|2016-06-21|1159314|Clinton
YouGov|2016-06-21|32321|Sanders
YouGov|2016-06-22|956932|Clinton
YouGov|2016-06-22|16394|Sanders
YouGov|2016-06-23|1051997|Clinton
YouGov|2016-06-23|104568|Sanders
YouGov|2016-06-24|1005242|Clinton
YouGov|2016-06-24|57600|Sanders
YouGov|2016-06-25|1383253|Clinton
YouGov|2016-06-25|-233793|Sanders
