Fox News|2016-06-21|1159314|Clinton
Fox News|2016-06-21|32321|Sanders
Fox News|2016-06-22|956932|Clinton
Fox News|2016-06-22|16394|Sanders
Fox News|2016-06-23|1051997|Clinton
Fox News|2016-06-23|104568|Sanders
Fox News|2016-06-24|1005242|Clinton
Fox News|2016-06-24|57600|Sanders
Fox News|2016-06-25|1383253|Clinton
Fox News|2016-06-25|-233793|Sanders
Fox News|2016-06-26|967644|Clinton
Fox News|2016-06-26|20828|Sanders
Fox News|2016-06-27|1636256|Clinton
Fox News|2016-06-27|21588|Sanders
Fox News|2016-06-28|1308829|Clinton
Fox News|2016-06-28|357230|Sanders
Fox News|2016-06-29|1434741|Clinton
Fox News|2016-06-29|268143|Sanders
Fox News|2016-06-30|1692443|Clinton
Fox News|2016-06-30|511375|Sanders
