Endorser,Date
Debbie Stabenownew,5-22-2014
Mark Takainew,5-4-2014
Tim Kainenew,5-3-2014
Ted Deutchnew,2-7-2014
Joseph Crowleynew,1-31-2014
Joe Manchin IIInew,1-29-2014
Sheila Jackson Leenew,1-28-2014
Terri A. Sewellnew,1-28-2014
David Cicillinenew,1-28-2014
David Scottnew,1-28-2014
Jim Langevinnew,1-28-2014
Cedric Richmondnew,1-28-2014
Louise Slaughternew,1-28-2014
Lois Frankelnew,1-28-2014
Sander Levinnew,1-28-2014
Richard E. Nealnew,1-28-2014
Frederica Wilsonnew,1-28-2014
Danny K. Davisnew,1-28-2014
Brian Higginsnew,1-28-2014
Doris O. Matsuinew,1-28-2014
Mike Hondanew,1-28-2014
Steny H. Hoyernew,1-28-2014
Sheldon Whitehousenew,1-28-2014
Chellie Pingreenew,1-28-2014
John Lewisnew,1-28-2014
Grace Mengnew,1-28-2014
Henry C.Hank ,1-28-2014
Jr. Johnson,1-28-2014
Joaquin Castronew,1-28-2014
Gregory W. Meeksnew,1-28-2014
John Delaneynew,1-28-2014
Gene Greennew,1-28-2014
Stephen F. Lynchnew,1-28-2014
Luis Gutierreznew,1-28-2014
Jan Schakowskynew,1-28-2014
Janice Hahnnew,1-28-2014
Chris Van Hollennew,1-13-2014
Dianne Feinsteinnew,12-12-2013
Kirsten E. Gillibrandnew,11-17-2013
Carolyn Maloneynew,11-11-2013
Patty Murraynew,11-8-2013
Mark Daytonnew,11-7-2013
Tim Ryannew,11-5-2013
Charles E. Schumernew,11-2-2013
Barbara Boxernew,10-30-2013
Dina Titusnew,8-18-2013
Claire McCaskillnew,6-18-2013
