Endorser,Date
John J. Duncan Jr.new,4-30-2016
Jeff Millernew,4-28-2016
Bill Shusternew,4-28-2016
Kevin Cramernew,4-3-2016
Lou Barlettanew,3-22-2016
Renee Ellmersnew,3-21-2016
Tom Reednew,3-16-2016
Rick Scottnew,3-16-2016
Tom Marinonew,2-29-2016
Scott DesJarlaisnew,2-29-2016
Jeff Sessionsnew,2-28-2016
Paul R. LePagenew,2-26-2016
Chris Christienew,2-26-2016
Chris Collinsnew,2-24-2016
Duncan D. Hunternew,2-24-2016
