Chris Collinsnew|2016-02-17|9338
Chris Collinsnew|2016-02-18|13684
Chris Collinsnew|2016-02-19|9502
Chris Collinsnew|2016-02-20|12615
Chris Collinsnew|2016-02-21|34579
Chris Collinsnew|2016-02-22|26192
Chris Collinsnew|2016-02-23|19081
Chris Collinsnew|2016-02-24|39017
Chris Collinsnew|2016-02-25|26088
Chris Collinsnew|2016-02-26|18794
Chris Collinsnew|2016-02-27|22347
Chris Collinsnew|2016-02-28|7511
Chris Collinsnew|2016-02-29|16506
Chris Collinsnew|2016-03-01|40307
Chris Collinsnew|2016-03-02|30880
