Jeff Sessionsnew|2016-01-21|23658
Jeff Sessionsnew|2016-01-22|12615
Jeff Sessionsnew|2016-01-23|11554
Jeff Sessionsnew|2016-01-24|4159
Jeff Sessionsnew|2016-01-25|3259
Jeff Sessionsnew|2016-01-26|10532
Jeff Sessionsnew|2016-01-27|10974
Jeff Sessionsnew|2016-01-28|16640
Jeff Sessionsnew|2016-01-29|7654
Jeff Sessionsnew|2016-01-30|6073
Jeff Sessionsnew|2016-01-31|8905
Jeff Sessionsnew|2016-02-01|31104
Jeff Sessionsnew|2016-02-02|19712
Jeff Sessionsnew|2016-02-03|14851
Jeff Sessionsnew|2016-02-04|11638
