Chris Christienew|2016-01-19|11250
Chris Christienew|2016-01-20|6747
Chris Christienew|2016-01-21|23658
Chris Christienew|2016-01-22|12615
Chris Christienew|2016-01-23|11554
Chris Christienew|2016-01-24|4159
Chris Christienew|2016-01-25|3259
Chris Christienew|2016-01-26|10532
Chris Christienew|2016-01-27|10974
Chris Christienew|2016-01-28|16640
Chris Christienew|2016-01-29|7654
Chris Christienew|2016-01-30|6073
Chris Christienew|2016-01-31|8905
Chris Christienew|2016-02-01|31104
Chris Christienew|2016-02-02|19712
