Scott DesJarlaisnew|2016-01-22|12615
Scott DesJarlaisnew|2016-01-23|11554
Scott DesJarlaisnew|2016-01-24|4159
Scott DesJarlaisnew|2016-01-25|3259
Scott DesJarlaisnew|2016-01-26|10532
Scott DesJarlaisnew|2016-01-27|10974
Scott DesJarlaisnew|2016-01-28|16640
Scott DesJarlaisnew|2016-01-29|7654
Scott DesJarlaisnew|2016-01-30|6073
Scott DesJarlaisnew|2016-01-31|8905
Scott DesJarlaisnew|2016-02-01|31104
Scott DesJarlaisnew|2016-02-02|19712
Scott DesJarlaisnew|2016-02-03|14851
Scott DesJarlaisnew|2016-02-04|11638
Scott DesJarlaisnew|2016-02-05|7612
